ts,distance
1614197805000,-8.2038
1614197710000,8.33116
1614197410000,-11.0255
1614197235000,10.9762
1614197200000,-10.9998
1614197165000,8.24352
1614197105000,-8.30259
1614196565000,11.0143
1614195590000,-13.7621
1614195535000,13.9214
1614193885000,-8.32591
1614193860000,-2.75573
1614193840000,2.7461
1614193805000,8.30229
1614193785000,-2.71249
1614193750000,2.75331
1614193325000,-13.6758
1614193260000,13.8839
1614193230000,-8.29512
1614192830000,8.32857
1614192805000,-5.5797
1614192245000,5.6299
1614192205000,-13.7168
1614191800000,13.8164
1614191760000,-13.7799
1614191230000,13.9634
1614191195000,-5.52189
1614188900000,5.58194
1614188375000,-13.7882
1614188315000,13.8229
1614187675000,-13.8205
1614187610000,2.77121
1614187575000,11.1085
1614187535000,-13.9808
1614185085000,10.9315
1614185060000,-5.4814
1614184505000,5.50262
1614184470000,-11.1283
1614183510000,11.1882
1614183030000,-11.0894
1614182955000,11.1825
1614182930000,-5.45129
1614181420000,8.24225
1614181315000,-11.0282
1614181250000,11.0743
1614176700000,-10.9614
1614176665000,10.9293
1614176625000,-10.9757
1614176520000,10.9623
1614176495000,-2.76587
1614176445000,-8.18676
1614176400000,8.24385
1614176330000,-8.26304
1614176270000,10.9512
1614176240000,-5.54686
1614175375000,2.83631
1614175325000,2.70886
1614175285000,-13.6615
1614174820000,11.1289
1614174785000,-10.9964
1614173955000,13.8191
1614173435000,-5.48633
1614173345000,5.58646
1614173290000,-10.967
1614173250000,8.25452
1614173225000,2.74692
1614171810000,-11.1304
1614171775000,11.0813
1614167840000,-10.863
1614167790000,8.30817
1614166725000,-5.51392
1614166525000,5.47276
1614166495000,-8.17613
1614164105000,10.9465
1614164060000,-10.9075
1614164025000,10.991
1614163960000,-10.811
1614163845000,10.9741
1614161330000,-10.9955
1614160675000,10.9012
1614157860000,-10.9188
1614157820000,-2.83316
1614157375000,13.949
1614156760000,-13.7042
1614156730000,8.31471
1614155515000,5.54757
1614151850000,-5.56951
1614151055000,5.54064
1614148420000,-5.52818
1614148390000,5.58191
1614147975000,-5.59948
1614147950000,5.59933
1614146540000,-8.46936
1614146500000,8.21407
1614146150000,-13.7888
1614146110000,13.7833
1614141055000,-8.24668
1614141020000,8.24715
1614134980000,-8.32877
1614134860000,8.26167
1614128945000,-5.62279
1614128920000,-5.48792
1614118860000,10.9523
1614118825000,-11.0065
1614116665000,11.0357
1614116630000,-10.9057
1614115950000,11.0318
1614114840000,-5.54264
1614114770000,-2.74967
1614113030000,5.56819
1614113000000,-8.17212
1614112135000,11.0984
1614112100000,-10.7659
1614111225000,11.0534
1614111205000,-2.72553
1614110845000,-11.1045
1614110820000,5.5773
1614109810000,5.52461
1614109780000,2.78171
1614109315000,-10.9703
1614109105000,10.9931
1614109080000,-5.57792
1614107715000,5.45115
1614107685000,-8.22215
1614107270000,8.27812
1614106340000,-11.2576
1614106295000,5.46275
1614105945000,5.56687
1614105905000,-13.8472
1614103560000,13.7868
1614103470000,-10.9478
1614102465000,10.9484
1614102175000,-13.7564
1614102155000,2.80889
1614101810000,10.9256
1614101770000,-13.8455
1614101170000,11.1159
1614101135000,-10.9121
1614100540000,13.8716
1614100510000,-8.21382
1614100000000,8.31567
1614099965000,-10.9251
1614099210000,10.9082
1614099185000,-5.5461
1614099070000,5.60224
1614099020000,-8.21594
1614098585000,5.49175
1614098560000,-2.76487
1614098035000,5.57466
1614097930000,-5.44457
1614097775000,5.45596
1614097750000,-2.67093
1614097375000,2.73511
1614097340000,-10.9388
1614096075000,8.21689
1614096050000,-5.47254
1614095735000,5.46506
1614095715000,-2.8224
1614094480000,5.53067
